text,author,url
"The arc of the moral universe is long, but it bends towards justice",Martin Luther King Jr.,http://www.goodreads.com/quotes/111013-the-arc-of-the-moral-universe-is-long-but-it
" This is precisely the time when artists go to work. There is no time for despair, no place for self-pity, no need for silence, no room for fear. We speak, we write, we do language. That is how civilizations heal.",Toni Morrison,https://www.thenation.com/article/no-place-self-pity-no-room-fear/
"Always remember you are braver than you believe, stronger than you seem, smarter than you think and twice as beautiful as you'd ever imagined. Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself",Rumi,http://www.azquotes.com/quote/1390373
To all the little girls watching...never doubt that you are valuable and powerful & deserving of every chance & opportunity in the world.,Hillary Clinton,https://twitter.com/HillaryClinton/status/796394920051441664
